GRNId,POId,Item,QuantityReceived,Price
GRN1,PO1,usage     prompttokens 32,14,91
GRN2,PO2,rejectedpredictiontokens 0,16,59
GRN3,PO2,rejectedpredictiontokens 0,5,59
GRN4,PO3,you can validate that the goods have been received as per the purchase order requirements,20,82
GRN5,PO3,you can validate that the goods have been received as per the purchase order requirements,2,82
GRN6,PO4,audiotokens 0,17,91
GRN7,PO4,audiotokens 0,11,91
GRN8,PO4,audiotokens 0,1,91
GRN9,PO4,audiotokens 0,12,91
GRN10,PO4,audiotokens 0,13,91
GRN11,PO4,audiotokens 0,1,91
GRN12,PO4,audiotokens 0,7,91
GRN13,PO5,model gpt35turbo0125,9,122
GRN14,PO5,model gpt35turbo0125,8,122
GRN15,PO5,model gpt35turbo0125,11,122
GRN16,PO5,model gpt35turbo0125,10,122
GRN17,PO6,systemfingerprint null,12,125
GRN18,PO6,systemfingerprint null,19,125
GRN19,PO6,systemfingerprint null,3,125
GRN20,PO6,systemfingerprint null,5,125
GRN21,PO7,finishreason stop,14,131
GRN22,PO7,finishreason stop,20,131
GRN23,PO7,finishreason stop,14,131
GRN24,PO7,finishreason stop,17,131
GRN25,PO7,finishreason stop,7,131
GRN26,PO7,finishreason stop,3,131
GRN27,PO7,finishreason stop,3,131
GRN28,PO7,finishreason stop,4,131
GRN29,PO7,finishreason stop,5,131
GRN30,PO8,usage     prompttokens 32,4,84
GRN31,PO8,usage     prompttokens 32,7,84
GRN32,PO8,usage     prompttokens 32,10,84
GRN33,PO8,usage     prompttokens 32,14,84
GRN34,PO8,usage     prompttokens 32,10,84
GRN35,PO8,usage     prompttokens 32,13,84
GRN36,PO8,usage     prompttokens 32,7,84
GRN37,PO8,usage     prompttokens 32,18,84
GRN38,PO9,servicetier default,21,121
GRN39,PO9,servicetier default,5,121
GRN40,PO9,servicetier default,2,121
GRN41,PO9,servicetier default,13,121
GRN42,PO9,servicetier default,16,121
GRN43,PO9,servicetier default,9,121
GRN44,PO9,servicetier default,7,121
GRN45,PO10,servicetier default,12,56
GRN46,PO10,servicetier default,6,56
GRN47,PO10,servicetier default,5,56
GRN48,PO10,servicetier default,1,56
GRN49,PO10,servicetier default,13,56
GRN50,PO10,servicetier default,6,56
GRN51,PO10,servicetier default,8,56
GRN52,PO10,servicetier default,9,56
GRN53,PO10,servicetier default,6,56
GRN54,PO10,servicetier default,9,56
GRN55,PO11,object chatcompletion,12,136
GRN56,PO12,message         role assistant,16,99
GRN57,PO12,message         role assistant,16,99
GRN58,PO12,message         role assistant,7,99
GRN59,PO12,message         role assistant,7,99
GRN60,PO12,message         role assistant,5,99
GRN61,PO12,message         role assistant,4,99
GRN62,PO12,message         role assistant,12,99
GRN63,PO13,prompttokensdetails       cachedtokens 0,21,146
GRN64,PO13,prompttokensdetails       cachedtokens 0,14,146
GRN65,PO13,prompttokensdetails       cachedtokens 0,3,146
GRN66,PO14,servicetier default,11,66
GRN67,PO14,servicetier default,10,66
GRN68,PO14,servicetier default,9,66
GRN69,PO14,servicetier default,12,66
GRN70,PO14,servicetier default,4,66
GRN71,PO14,servicetier default,1,66
GRN72,PO14,servicetier default,7,66
GRN73,PO14,servicetier default,16,66
GRN74,PO14,servicetier default,2,66
GRN75,PO15,totaltokens 251,18,80
GRN76,PO15,totaltokens 251,18,80
GRN77,PO15,totaltokens 251,17,80
GRN78,PO15,totaltokens 251,1,80
GRN79,PO15,totaltokens 251,16,80
GRN80,PO15,totaltokens 251,4,80
